"","B Site","A1 Site","Predicted PC"
"1","Co","Na50",0.0210558902472258
"2","Fe","Na50",0.0132011417299509
"3","Mn","Na50",0.018126592040062
"4","Co","K50",0.0232087150216103
"5","Fe","K50",0.0154746687039733
"6","Mn","K50",0.0204001255333424
"7","Co","Ca50",0.022083219140768
"8","Fe","Ca50",0.0141139449551702
"9","Mn","Ca50",0.0190393961966038
"10","Co","Mg50",0.0198868606239557
"11","Fe","Mg50",0.0120163224637508
"12","Mn","Mg50",0.0169417727738619
"13","Co","Ba50",0.0240405164659023
"14","Fe","Ba50",0.0163064729422331
"15","Mn","Ba50",0.0212319269776344
"16","Co","Cu50",0.0209141913801432
"17","Fe","Cu50",0.0130436522886157
"18","Mn","Cu50",0.0179691035300493
"19","Co","Pr50",0.0217459890991449
"20","Fe","Pr50",0.0139899803325534
"21","Mn","Pr50",0.0189154352992773
"22","Co","Sc50",0.0209141913801432
"23","Fe","Sc50",0.0130436522886157
"24","Mn","Sc50",0.0179691035300493
